Provinsi,Bawang_Merah_Ton
ACEH,11246
SUMATERA UTARA,29222
SUMATERA BARAT,153770
RIAU,263
JAMBI,11977
SUMATERA SELATAN,934
BENGKULU,1153
LAMPUNG,2105
KEP. BANGKA BELITUNG,157
KEP. RIAU,123
DKI JAKARTA,0
JAWA BARAT,164827
JAWA TENGAH,611165
DI YOGYAKARTA,18811
JAWA TIMUR,454584
BANTEN,1404
BALI,14207
NUSA TENGGARA BARAT,188740
NUSA TENGGARA TIMUR,10424
KALIMANTAN BARAT,227
KALIMANTAN TENGAH,79
KALIMANTAN SELATAN,462
KALIMANTAN TIMUR,267
KALIMANTAN UTARA,90
SULAWESI UTARA,4937
SULAWESI TENGAH,5725
SULAWESI SELATAN,124381
SULAWESI TENGGARA,655
GORONTALO,476
SULAWESI BARAT,631
MALUKU,1106
MALUKU UTARA,951
PAPUA BARAT,136
PAPUA,209
,
