Provinsi,Bawang_Putih_Ton
ACEH,796
SUMATERA UTARA,1339
SUMATERA BARAT,4906
RIAU,0
JAMBI,502
SUMATERA SELATAN,115
BENGKULU,971
LAMPUNG,808
KEP. BANGKA BELITUNG,0
KEP. RIAU,0
DKI JAKARTA,0
JAWA BARAT,3253
JAWA TENGAH,33304
DI YOGYAKARTA,1
JAWA TIMUR,5898
BANTEN,0
BALI,1329
NUSA TENGGARA BARAT,24609
NUSA TENGGARA TIMUR,974
KALIMANTAN BARAT,0
KALIMANTAN TENGAH,0
KALIMANTAN SELATAN,0
KALIMANTAN TIMUR,0
KALIMANTAN UTARA,0
SULAWESI UTARA,875
SULAWESI TENGAH,934
SULAWESI SELATAN,307
SULAWESI TENGGARA,0
GORONTALO,0
SULAWESI BARAT,886
MALUKU,0
MALUKU UTARA,0
PAPUA BARAT,0
PAPUA,0
,
