Provinsi,Daging_Ayam_Ras_Pedaging_Ton
ACEH,34437.67
SUMATERA UTARA,142063.55
SUMATERA BARAT,59820.8
RIAU,100100.57
JAMBI,37683.59
SUMATERA SELATAN,89825.64
BENGKULU,8893.83
LAMPUNG,93499.82
KEP. BANGKA BELITUNG,20569.44
KEP. RIAU,24643.18
DKI JAKARTA,0
JAWA BARAT,838148.94
JAWA TENGAH,638539.96
DI YOGYAKARTA,52951.46
JAWA TIMUR,474868.84
BANTEN,207423.98
BALI,80059.02
NUSA TENGGARA BARAT,31739.87
NUSA TENGGARA TIMUR,19498.34
KALIMANTAN BARAT,55352.15
KALIMANTAN TENGAH,22700.13
KALIMANTAN SELATAN,80705.84
KALIMANTAN TIMUR,43815.86
KALIMANTAN UTARA,4837.48
SULAWESI UTARA,10138.61
SULAWESI TENGAH,5703.96
SULAWESI SELATAN,78878.6
SULAWESI TENGGARA,3921.3
GORONTALO,3512.69
SULAWESI BARAT,2481
MALUKU,699.33
MALUKU UTARA,130.68
PAPUA BARAT,1034.32
PAPUA,6645.25
,
