Provinsi,Kakao_Ton
ACEH,41300
SUMATERA UTARA,35300
SUMATERA BARAT,43300
RIAU,1600
JAMBI,800
SUMATERA SELATAN,4200
BENGKULU,3800
LAMPUNG,58600
KEP. BANGKA BELITUNG,200
KEP. RIAU,0
DKI JAKARTA,0
JAWA BARAT,2300
JAWA TENGAH,1700
DI YOGYAKARTA,2000
JAWA TIMUR,23300
BANTEN,2200
BALI,5000
NUSA TENGGARA BARAT,2500
NUSA TENGGARA TIMUR,20100
KALIMANTAN BARAT,2100
KALIMANTAN TENGAH,1500
KALIMANTAN SELATAN,100
KALIMANTAN TIMUR,3300
KALIMANTAN UTARA,1000
SULAWESI UTARA,6000
SULAWESI TENGAH,127300
SULAWESI SELATAN,103500
SULAWESI TENGGARA,114900
GORONTALO,4400
SULAWESI BARAT,71300
MALUKU,8200
MALUKU UTARA,9300
PAPUA BARAT,1900
PAPUA,10400
,
,
,
