Provinsi,Padi_Ton
ACEH,1757313.07
SUMATERA UTARA,2040500.19
SUMATERA BARAT,1387269.29
RIAU,243685.04
JAMBI,386413.49
SUMATERA SELATAN,2743059.68
BENGKULU,292834.04
LAMPUNG,2650289.64
KEP. BANGKA BELITUNG,57324.32
KEP. RIAU,852.54
DKI JAKARTA,4543.93
JAWA BARAT,9016772.58
JAWA TENGAH,9489164.62
DI YOGYAKARTA,523395.95
JAWA TIMUR,9944538.26
BANTEN,1655170.09
BALI,532168.45
NUSA TENGGARA BARAT,1317189.81
NUSA TENGGARA TIMUR,725024.3
KALIMANTAN BARAT,778170.36
KALIMANTAN TENGAH,457952
KALIMANTAN SELATAN,1150306.66
KALIMANTAN TIMUR,262434.52
KALIMANTAN UTARA,33574.28
SULAWESI UTARA,248879.48
SULAWESI TENGAH,792248.84
SULAWESI SELATAN,4708464.97
SULAWESI TENGGARA,532773.49
GORONTALO,227627.2
SULAWESI BARAT,345050.37
MALUKU,110447.3
MALUKU UTARA,43382.85
PAPUA BARAT,24378.33
PAPUA,166002.3
,
