Provinsi,Susu_Segar_Ton
ACEH,0.01
SUMATERA UTARA,4086
SUMATERA BARAT,1035.81
RIAU,56.7
JAMBI,8.02
SUMATERA SELATAN,56.93
BENGKULU,477.64
LAMPUNG,1500.48
KEP. BANGKA BELITUNG,158.4
KEP. RIAU,7.36
DKI JAKARTA,5100.48
JAWA BARAT,293490.31
JAWA TENGAH,99924.65
DI YOGYAKARTA,5411.61
JAWA TIMUR,534151.52
BANTEN,52.3
BALI,0
NUSA TENGGARA BARAT,0
NUSA TENGGARA TIMUR,22.58
KALIMANTAN BARAT,0
KALIMANTAN TENGAH,0
KALIMANTAN SELATAN,0.29
KALIMANTAN TIMUR,140.76
KALIMANTAN UTARA,0
SULAWESI UTARA,21.48
SULAWESI TENGAH,0
SULAWESI SELATAN,1918.8
SULAWESI TENGGARA,63.26
GORONTALO,0
SULAWESI BARAT,0
MALUKU,0
MALUKU UTARA,0
PAPUA BARAT,0
PAPUA,0
,
