Provinsi,Teh_Ton
ACEH,0
SUMATERA UTARA,9000
SUMATERA BARAT,6500
RIAU,0
JAMBI,2900
SUMATERA SELATAN,3000
BENGKULU,1300
LAMPUNG,0
KEP. BANGKA BELITUNG,0
KEP. RIAU,0
DKI JAKARTA,0
JAWA BARAT,88300
JAWA TENGAH,14600
DI YOGYAKARTA,200
JAWA TIMUR,2100
BANTEN,0
BALI,0
NUSA TENGGARA BARAT,0
NUSA TENGGARA TIMUR,0
KALIMANTAN BARAT,0
KALIMANTAN TENGAH,0
KALIMANTAN SELATAN,0
KALIMANTAN TIMUR,0
KALIMANTAN UTARA,0
SULAWESI UTARA,0
SULAWESI TENGAH,0
SULAWESI SELATAN,0
SULAWESI TENGGARA,0
GORONTALO,0
SULAWESI BARAT,0
MALUKU,0
MALUKU UTARA,0
PAPUA BARAT,0
PAPUA,0
,
