Provinsi,Telur_Ayam_Petelur_Ton
ACEH,13065.87
SUMATERA UTARA,543804.01
SUMATERA BARAT,301529.89
RIAU,12972.43
JAMBI,24091.98
SUMATERA SELATAN,145182.25
BENGKULU,11505.4
LAMPUNG,138833.68
KEP. BANGKA BELITUNG,11227.45
KEP. RIAU,14843.48
DKI JAKARTA,0
JAWA BARAT,497577.43
JAWA TENGAH,530220.19
DI YOGYAKARTA,66692.8
JAWA TIMUR,1732437.32
BANTEN,216888.23
BALI,197716.89
NUSA TENGGARA BARAT,36024.91
NUSA TENGGARA TIMUR,9749.42
KALIMANTAN BARAT,122467.64
KALIMANTAN TENGAH,7843.23
KALIMANTAN SELATAN,92089.45
KALIMANTAN TIMUR,35387.88
KALIMANTAN UTARA,644.21
SULAWESI UTARA,28215.63
SULAWESI TENGAH,14681.73
SULAWESI SELATAN,206598.22
SULAWESI TENGGARA,3005.08
GORONTALO,4052.96
SULAWESI BARAT,2603.18
MALUKU,657.1
MALUKU UTARA,93.81
PAPUA BARAT,8729.25
PAPUA,12961.97
,
