Provinsi,Susu_Segar,id
ACEH,0.01,1
BALI,0,2
BANGKA BELITUNG,144,3
BANTEN,53.74,4
BENGKULU,409.61,5
GORONTALO,0,6
JAKARTA,5100.48,7
JAMBI,8.02,8
JAWA BARAT,300337.16,9
JAWA TENGAH,102948.9,10
JAWA TIMUR,521123.43,11
KALIMANTAN BARAT,66.6,12
KALIMANTAN SELATAN,202.27,13
KALIMANTAN TENGAH,0,14
KALIMANTAN TIMUR,139.23,15
KEPULAUAN RIAU,8.83,16
LAMPUNG,1471.06,17
MALUKU,0,18
MALUKU UTARA,0,19
NUSA TENGGARA BARAT,0,20
NUSA TENGGARA TIMUR,18.32,21
PAPUA,0,22
PAPUA BARAT,0,23
RIAU,56.7,24
SULAWESI BARAT,0,25
SULAWESI SELATAN,1888.2,26
SULAWESI TENGAH,0,27
SULAWESI TENGGARA,54.43,28
SULAWESI UTARA,20.25,29
SUMATERA BARAT,1014.39,30
SUMATERA SELATAN,55.93,31
SUMATERA UTARA,3489.84,32
YOGYAKARTA,5925.69,33
,,
,,
,,
